#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,mdadm,"software rade application"
,libguestfs,"tools for accessing and modifying virtual machine disk images"
,archlinux-keyring,"the distribution keyring for Arch Linux"
,qemu,"A generic and open source machine emulator and virtualizer"
,virt-manager,"desktop user interface for managing virtual machines through libvirt"
,virt-viewer,"The virtual machine console viewer application code"
,dnsmasq,"DNS and DHCP server"
,bridge-utils,"util for administring bridge"
,openbsd-netcat,"network tools"
,gnome-keyring,"for save password in application"
,libsecret,"library for storing and retrieving passwords and other secrets"
,seahorse,"GNOME application for managing PGP keys"
,bluez,"ble"
,bluez-utils,"ble"
,blueman,"GNOME ble manager"
,flameshot,"screenshot application"
,telegram-desktop,"telegram"
,remmina,"rdp client"
,arandr,"simple visual front end for XRandR"
,autorandr,"for auto load xrandr configuration"
,gimp,"gimp"
,chromium,"chromium"
,solaar,"for control logitech device"
,bitwarden,"password manager"
,vscode,"vscode"
,variety,"for change background image"
,alacritty,"terminal emulator"
,pavucontrol,"control sound"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,neovim,"a tidier vim with some useful features"
,ranger,"terminal file manager"
,feh,"lightweight image viwer"
,freerdp,"free implementation of the Remote Desktop Protocol (RDP)"
,flatpak,"for install flatpak image"
,playerctl,"command-line utility and library for controlling media players"
,nextcloud-client,"nextcloud client"
,docker,"docker"
,docker-compose,"docker-compose"
,polybar,"polybar"
,zsh,"zsh"
,libvirt,"toolkit to manage virtualization platforms"
,edk2-ovmf,"project to enable UEFI support for Virtual Machines"
,polkit,"manages user policies."
,caja,"gui file manager"
,xarchiver,"gui file archivies"
,p7zip,"p7zip"
,zip,"zip"
,unzip,"unzip"
,unrar,"unrar"
,python-pip,"python-pip"
,nvidia-settings,"nvidia-settings"
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,ttf-font-awesome,"provides extended glyph support."
,ttf-dejavu,"properly displays emojis."
,bc,"is a mathematics language used for the dropdown calculator."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,xclip,"allows for copying and pasting from the command line."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
A,xl2tpd,"l2tp vpn server"
A,strongswan,"IPsec-based VPN solution"
A,networkmanager-l2tp,"VPN plugin for NetworkManager"
A,onlyoffice-bin,"only office"
A,logseq-desktop,"logseq"
A,logiops,"configuration utility for Logitech input devices"
A,imagewriter,"program for writing ROSA installation image to a flash disk"
A,whatsapp-for-linux,"whatapp"
A,mailspring,"mailspring"
A,transmission-remote-gui,"torrent"
A,skypeforlinux-stable-bin,"skype"
A,timeshift,"timeshift"
A,github-desktop-bin,"github desktop"
A,virtio-win,"virtio-win"
A,woeusb,"simple tool that enable you to create your own usb stick windows installer from an iso image"
A,pycharm-community-edition,"pycharm"
A,looking-glass-git,"looking glass"
A,rustdesk-bin,"rustdesk"
A,jellyfin-ffmpeg5,"for gpu support jellyfin"
A,nvidia-container-toolkit,"for docker gpu"
A,nvidia-container-runtime,"for docker gpu"
